各級學校師生比,,,,,,,
,統計期,設立別,國小,中等教育,國中,高級中等學校,大專校院
,103學年,總計,12.71,14.62,12.06,17.05,22.56
,103學年,公立,12.6,12.83,12.04,13.96,18.78
,103學年,私立,18.65,22.79,14.27,23.04,25.1
,104學年,總計,12.47,14.16,11.51,16.6,22.85
,104學年,公立,12.35,12.33,11.48,13.5,18.95
,104學年,私立,18.74,22.56,15.03,22.75,25.51
,105學年,總計,12.35,13.87,11.01,16.42,23.28
,105學年,公立,12.22,11.97,10.97,13.27,19.37
,105學年,私立,18.59,22.52,14.75,22.72,26.01
,106學年,總計,12.15,13.48,10.67,15.92,22.56
,106學年,公立,12,11.72,10.63,13.1,19.21
,106學年,私立,18.98,21.55,14.4,21.74,24.93
,107學年,總計,12.11,12.93,10.23,15.31,22.3
,107學年,公立,11.96,11.32,10.19,12.74,18.93
,107學年,私立,18.69,20.76,14.15,20.96,24.78
,108學年,總計,12.12,12.36,9.88,14.58,21.99
,108學年,公立,11.96,10.9,9.84,12.23,18.84
,108學年,私立,18.99,19.95,13.38,20.13,24.39
,109學年,總計,12.11,12.07,9.69,14.22,21.73
,109學年,公立,11.94,10.6,9.66,11.79,18.8
,109學年,私立,19.27,20.1,13.63,20.29,24.02
,110學年,總計,12.14,11.8,9.57,13.81,21.88
,110學年,公立,11.98,10.38,9.53,11.42,19.06
,110學年,私立,19.25,20,13.82,20.19,24.15
,111學年,總計,12.2,11.54,9.28,13.56,21.53
,111學年,公立,12.04,10.14,9.25,11.23,19.24
,111學年,私立,19.27,19.82,12.82,20.06,23.46
,112學年,總計,12.17,11.33,9.1,13.32,21.49
,112學年,公立,12.01,9.97,9.07,11.05,19.65
,112學年,私立,19.2,19.5,12.37,19.74,23.09